Top Ten Entry Date,Single Name,Artist(s),Peak,Peak Date,Weeks in Top Ten,Ref,Year
2024-08-31,Die with a Smile,Lady Gaga and Bruno Mars,1,2025-01-11,50,[2][3],2024
2024-11-02,Apt.,Rosé and Bruno Mars,3,2025-02-01,14,[4][5],2024
2024-12-07,Luther,Kendrick Lamar and SZA,1,2025-03-01,32,[6][7],2024
2025-01-18,Smile,Morgan Wallen,4,2025-01-18,1,[8],2025
2025-01-25,DTMF,Bad Bunny,2,2025-01-25,3,[9],2025
2025-01-25,Baile Inolvidable,Bad Bunny,3,2025-01-25,2,[9],2025
2025-01-25,Nuevayol,Bad Bunny,8,2025-01-25,1,[9],2025
2025-02-08,4x4,Travis Scott,1,2025-02-08,1,[10],2025
2025-02-15,I'm the Problem,Morgan Wallen,2,2025-02-15,16,[11],2025
2025-02-22,Pink Pony Club,Chappell Roan,4,2025-04-26,14,[12][13],2025
2025-02-22,30 for 30,SZA with Kendrick Lamar,10,2025-02-22,1,[12],2025
2025-03-01,Gimme a Hug,Drake,6,2025-03-01,1,[7],2025
2025-03-01,Nokia,Drake,2,2025-04-19,13,[7][14],2025
2025-03-29,Evil J0rdan,Playboi Carti,2,2025-03-29,1,[15],2025
2025-03-29,Rather Lie,Playboi Carti and The Weeknd,4,2025-03-29,1,[15],2025
2025-03-29,The Giver,Chappell Roan,5,2025-03-29,1,[15],2025
2025-03-29,Anxiety,Doechii,9,2025-05-17,4,[15][16],2025
2025-04-05,Just in Case,Morgan Wallen,2,2025-05-31,16,[17][18],2025
2025-04-19,All the Way,BigXthaPlug featuring Bailey Zimmerman,4,2025-04-19,2,[14],2025
2025-04-19,Ordinary,Alex Warren,1,2025-06-07,0,[14][19],2025
2025-05-03,I Ain't Comin' Back,Morgan Wallen and Post Malone,8,2025-05-03,1,[20],2025
2025-05-31,What I Want,Morgan Wallen featuring Tate McRae,1,2025-05-31,0,[18],2025
2025-05-31,I Got Better,Morgan Wallen,7,2025-05-31,1,[18],2025
