Top Ten Entry Date,Single Name,Artist(s),Peak,Peak Date,Weeks in Top Ten,Ref,Year
1960-12-12,Wonderland by Night,Bert Kaempfert,1,1961-01-09,10,,1960
1960-12-12,Exodus,Ferrante & Teicher,2,1961-01-23,11,,1960
1960-12-26,"Corrina, Corinna",Ray Peterson,9,1961-01-09,5,,1960
1960-12-31,Angel Baby,Rosie and the Originals,5,1961-01-23,7,,1960
1961-01-09,Will You Love Me Tomorrow,The Shirelles,1,1961-01-30,7,,1961
1961-01-09,Rubber Ball,Bobby Vee,6,1961-01-09,5,,1961
1961-01-16,Calcutta,Lawrence Welk,1,1961-02-13,9,,1961
1961-01-23,Shop Around,The Miracles,2,1961-02-20,6,,1961
1961-01-23,Calendar Girl,Neil Sedaka,4,1961-02-13,5,,1961
1961-01-30,Emotions,Brenda Lee,7,1961-02-13,4,,1961
1961-02-06,My Empty Arms,Jackie Wilson,9,1961-02-06,1,,1961
1961-02-13,Pony Time,Chubby Checker,1,1961-02-27,8,,1961
1961-02-13,There's a Moon Out Tonight,The Capris,3,1961-02-27,4,,1961
1961-02-20,Dedicated to the One I Love,The Shirelles,3,1961-03-27,9,,1961
1961-02-20,Wheels,The String-a-Longs,3,1961-03-06,6,,1961
1961-02-27,Surrender,Elvis Presley,1,1961-03-20,8,,1961
1961-02-27,Don't Worry,Marty Robbins,3,1961-03-20,7,,1961
1961-02-27,Where the Boys Are,Connie Francis,4,1961-03-20,5,,1961
1961-02-27,Ebony Eyes,The Everly Brothers,8,1961-03-20,4,,1961
1961-03-06,Baby Sittin' Boogie,Buzz Clifford,6,1961-03-13,3,,1961
1961-03-13,Spanish Harlem,Ben E. King,10,1961-03-13,1,,1961
1961-03-20,Apache,Jørgen Ingmann and his Guitar,2,1961-04-03,5,,1961
1961-03-20,Walk Right Back,The Everly Brothers,7,1961-03-27,4,,1961
1961-03-27,Blue Moon,The Marcels,1,1961-04-03,8,,1961
1961-03-27,Gee Whiz (Look at His Eyes),Carla Thomas,10,1961-03-27,1,,1961
1961-04-03,On the Rebound,Floyd Cramer,4,1961-04-17,6,,1961
1961-04-03,Runaway,Del Shannon,1,1961-04-24,9,,1961
1961-04-03,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry",4,1961-04-24,5,,1961
1961-04-10,Mother-in-Law,Ernie K-Doe,1,1961-05-22,8,,1961
1961-04-17,Asia Minor,Kokomo,8,1961-04-17,1,,1961
1961-04-17,A Hundred Pounds of Clay,Gene McDaniels,3,1961-05-08,8,,1961
1961-04-24,I've Told Every Little Star,Linda Scott,3,1961-05-01,5,,1961
1961-04-24,You Can Depend on Me,Brenda Lee,6,1961-05-08,4,,1961
1961-04-24,Take Good Care of Her,Adam Wade,7,1961-05-01,4,,1961
1961-04-24,One Mint Julep,Ray Charles,8,1961-05-01,3,,1961
1961-05-08,Portrait of My Love,Steve Lawrence,9,1961-05-08,1,,1961
1961-05-15,Daddy's Home,Shep and the Limelites,2,1961-05-29,4,,1961
1961-05-15,Travelin' Man,Ricky Nelson,1,1961-05-29,8,,1961
1961-05-15,Mama Said,The Shirelles,4,1961-05-29,4,,1961
1961-05-22,Running Scared,Roy Orbison,1,1961-06-05,4,,1961
1961-05-22,Breakin' in a Brand New Broken Heart,Connie Francis,7,1961-05-29,3,,1961
1961-05-22,Hello Mary Lou,Ricky Nelson,9,1961-05-22,1,,1961
1961-05-29,I Feel So Bad,Elvis Presley,5,1961-06-05,3,,1961
1961-05-29,Tragedy,The Fleetwoods,10,1961-05-29,1,,1961
1961-06-05,Stand by Me,Ben E. King,4,1961-06-12,4,,1961
1961-06-05,Moody River,Pat Boone,1,1961-06-19,6,,1961
1961-06-05,Raindrops,Dee Clark,2,1961-06-26,8,,1961
1961-06-12,The Writing on the Wall,Adam Wade,5,1961-07-03,5,,1961
1961-06-12,Every Beat of My Heart,The Pips,6,1961-07-10,6,,1961
1961-06-12,Quarter to Three,Gary U.S. Bonds,1,1961-06-26,8,,1961
1961-06-12,The Boll Weevil Song,Brook Benton,2,1961-07-10,8,,1961
1961-06-19,Tossin' and Turnin',Bobby Lewis,1,1961-07-10,12,,1961
1961-06-19,Those Oldies but Goodies (Remind Me of You),Little Caesar & the Romans,9,1961-06-26,3,,1961
1961-07-03,Yellow Bird,Arthur Lyman,4,1961-07-24,5,,1961
1961-07-10,Hats Off to Larry,Del Shannon,5,1961-07-31,5,,1961
1961-07-10,Dance on Little Girl,Paul Anka,10,1961-07-10,1,,1961
1961-07-17,San Antonio Rose,Floyd Cramer,8,1961-07-17,1,,1961
1961-07-17,I Like It Like That,Chris Kenner,2,1961-07-31,7,,1961
1961-07-17,Dum Dum,Brenda Lee,4,1961-07-31,6,,1961
1961-07-24,Together,Connie Francis,6,1961-08-07,4,,1961
1961-07-24,Let's Twist Again,Chubby Checker,8,1961-08-07,5,,1961
1961-07-31,Last Night,The Mar-Keys,3,1961-08-07,5,,1961
1961-08-07,Pretty Little Angel Eyes,Curtis Lee,7,1961-08-07,4,,1961
1961-08-07,Wooden Heart (Muss i denn),Joe Dowell,1,1961-08-28,7,,1961
1961-08-07,Michael,The Highwaymen,1,1961-09-04,9,,1961
1961-08-14,School Is Out,Gary U.S. Bonds,5,1961-09-04,4,,1961
1961-08-21,You Don't Know What You've Got (Until You Lose It),Ral Donner,4,1961-09-04,4,,1961
1961-08-28,Don't Bet Money Honey,Linda Scott,9,1961-08-28,2,,1961
1961-08-28,Hurt,Timi Yuro,4,1961-09-11,3,,1961
1961-09-04,Take Good Care of My Baby,Bobby Vee,1,1961-09-18,7,,1961
1961-09-04,My True Story,The Jive Five,3,1961-09-11,4,,1961
1961-09-04,As If I Didn't Know,Adam Wade,10,1961-09-04,2,,1961
1961-09-11,Does Your Chewing Gum Lose Its Flavor (on the Bedpost Overnight),Lonnie Donegan,5,1961-09-25,4,,1961
1961-09-11,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,7,1961-09-25,2,,1961
1961-09-11,Little Sister,Elvis Presley,5,1961-10-02,4,,1961
1961-09-18,(Marie's the Name) His Latest Flame,Elvis Presley,4,1961-09-18,2,,1961
1961-09-18,Crying,Roy Orbison,2,1961-10-09,5,,1961
1961-09-18,Without You,Johnny Tillotson,7,1961-09-18,2,,1961
1961-09-18,One Track Mind,Bobby Lewis,9,1961-09-18,1,,1961
1961-09-18,When We Get Married,The Dreamlovers,10,1961-09-18,1,,1961
1961-09-25,The Mountain's High,Dick and Dee Dee,2,1961-09-25,3,,1961
1961-10-02,Hit the Road Jack,Ray Charles,1,1961-10-09,8,,1961
1961-10-02,Mexico,Bob Moore,7,1961-10-02,3,,1961
1961-10-02,You Must Have Been a Beautiful Baby,Bobby Darin,5,1961-10-16,3,,1961
1961-10-02,Bristol Stomp,The Dovells,2,1961-10-23,9,,1961
1961-10-09,Runaround Sue,Dion,1,1961-10-23,9,,1961
1961-10-09,Let's Get Together,Hayley Mills,8,1961-10-23,3,,1961
1961-10-16,Sad Movies (Make Me Cry),Sue Thompson,5,1961-10-23,5,,1961
1961-10-16,Big Bad John,Jimmy Dean,1,1961-11-06,10,,1961
1961-10-16,Ya Ya,Lee Dorsey,7,1961-10-30,3,,1961
1961-10-23,This Time,Troy Shondell,6,1961-10-23,6,,1961
1961-10-23,I Love How You Love Me,The Paris Sisters,5,1961-10-30,3,,1961
1961-10-23,The Fly,Chubby Checker,7,1961-11-13,5,,1961
1961-11-06,Fool #1,Brenda Lee,3,1961-11-13,5,,1961
1961-11-06,Tower of Strength,Gene McDaniels,5,1961-11-13,5,,1961
1961-11-13,Please Mr. Postman,The Marvelettes,1,1961-12-11,7,,1961
1961-11-20,Goodbye Cruel World,James Darren,3,1961-12-04,7,,1961
1961-11-27,Heartaches,The Marcels,7,1961-11-27,1,,1961
1961-11-27,Crazy,Patsy Cline,9,1961-11-27,2,,1961
1961-12-04,Walk On By,Leroy Van Dyke,5,1961-12-11,8,,1961
1961-12-04,I Understand (Just How You Feel),The G-Clefs,9,1961-12-04,1,,1961
1961-12-11,The Lion Sleeps Tonight,The Tokens,1,1961-12-18,8,,1961
1961-12-11,Run to Him,Bobby Vee,2,1961-12-25,6,,1961
1961-12-11,Tonight,Ferrante & Teicher,8,1961-12-11,1,,1961
1961-12-11,Let There Be Drums,Sandy Nelson,7,1961-12-18,3,,1961
1993-12-04,Breathe Again,Toni Braxton,3,1994-01-22,17,,1993
1993-12-04,Can We Talk,Tevin Campbell,9,1994-01-15,4,,1993
1993-12-11,All for Love,"Bryan Adams, Rod Stewart, and Sting",1,1994-01-22,14,,1993
1993-12-18,Said I Loved You...But I Lied,Michael Bolton,6,1994-01-22,9,,1993
1993-12-25,What's My Name?,Snoop Doggy Dogg,8,1994-01-01,4,,1993
1994-01-22,The Power of Love,Céline Dion,1,1994-02-12,16,,1994
1994-02-05,The Sign,Ace of Base,1,1994-03-12,21,,1994
1994-02-12,Getto Jam,Domino,7,1994-02-12,2,,1994
1994-02-12,Linger,The Cranberries,8,1994-02-12,1,,1994
1994-02-12,Whatta Man,Salt-n-Pepa and En Vogue,3,1994-02-26,11,,1994
1994-02-19,Without You,Mariah Carey,3,1994-03-19,13,,1994
1994-02-19,Understanding,Xscape,8,1994-02-19,2,,1994
1994-02-19,So Much in Love,All-4-One,5,1994-03-12,11,,1994
1994-02-26,Now and Forever,Richard Marx,7,1994-03-19,11,,1994
1994-03-05,Cantaloop (Flip Fantasia),Us3,9,1994-03-05,4,,1994
1994-03-12,Bump n' Grind,R. Kelly,1,1994-04-09,12,,1994
